연번,행정동,주소,데이터기준일자,위도,경도
167.0,구로2동,벚꽃로 476,2024-06-07,37.4965999823896,126.879999846595
168.0,구로2동,벚꽃로 484,2024-06-07,37.4973316468315,126.880135396243
169.0,구로2동,구로동로 47길 21,2024-06-07,37.4978978795543,126.881246130383
170.0,구로2동,구로동로 47길 10,2024-06-07,37.4981297209211,126.881887756656
171.0,구로2동,구로동로 49길 18,2024-06-07,37.4995173714295,126.881359707945
172.0,구로2동,구로동로 217,2024-06-07,37.4979475371222,126.882338806241
173.0,구로2동,구로동로 205,2024-06-07,37.4969887390297,126.882301070052
174.0,구로2동,구로동로 179,2024-06-07,37.4944529165006,126.882542067811
175.0,구로2동,구로동로 35길 16,2024-06-07,37.4937120037895,126.88252694459
176.0,구로2동,구로동로 35길 22,2024-06-07,37.4933632911393,126.882413167328
177.0,구로2동,가마산로 177,2024-06-07,37.4916869874093,126.881800543141
178.0,구로2동,벚꽃로 398,2024-06-07,37.4896762276371,126.880474752937
